,state,kind,sex,neutralization,color,birth,weight,number,period,location,feature,center,department
58,완료(입양),[개] 푸들,수컷,1.0,갈색,2016,6,경남-창원2-2021-00126,2021-05-07~2021-05-17,"신고자가 발견장소에서 보호자가 을 수 있어서 이틀간 보호,",,마산유기동물보호소,
59,보호중,[개] 푸들,수컷,,검정색,2019,5,전남-목포-2021-00291,2021-05-08 ~2021-05-18,연산주공@부근,"심한경계, 피부질환,입질시도",목포시유기동물보호소,전라남도 목포시청
60,공고중,[개] 푸들,암컷,,흰,2018,6.0,서울-중랑-2021-00055,2021-05-10 ~2021-05-31,상봉중앙로5가길 58 인근,신고인이미용시킴.꼬리단미안됨.사람좋아함.활발함.,한국동물구조관리협회,서울특별시 중랑구청
61,완료(입양),[개] 푸들,,,,,,전북-고창-2021-00142,2021-005-10 ~2021-05-20,고창읍 남구1길 14 (모양지구대),착하고 순함. 목줄 착용중,고창동물병원,전라북도 고창군정
62,완료(귀가),[개] 푸들,암컷,,갈색,2016,4.6,경북-김천-2021-00120,2021-05-11 ~ 2021-05-21,직지파출소 건너편 공사현장,"분홍하네스, 유방염, 마른기침, 엉덩이부위 혹",김천시 동물보호센터,경상북도 김천시청
63,완료(입양),[개] 푸들,수컷,1.0,갈색,2015,4.38,서울-관악-2021-00179,2021-05-007~2021-05-17,관악로196ㄱ,"베이지옷착용,순하고사람잘따름,칩있음",러브펫종합동물병원,서울특별시 관악구정
64,완료(귀가),[개] 푸들,수컷,1.0,검정,2018,6.0,인천-부평-2021-00246,2021-05-07~2021-05-17,백운역부근,친근함,짱구네동물병원,인천광역시 부평구정
65,완료(입양),[개] 푸들,수컷,,흰색,2016,,부산-사상-2021-00099,2021-05-10 ~2021-05-20,백양대로646번길45,흰색,유기동물및동물보호협,부산광역시 사상구정
66,보호중,[개] 푸들,수컷,0.0,검은색,2017,7.3,충남-천안-2021-00385,2021-05-10 ~2021-05-20,서북구 3공단6로 50 차암동물병원,"순함, 신고자 입양희망",유실유기동물보호소,충청남도 천안시청
67,완료(귀가),[개] 푸들,수컷,0.0,흰색,2016,3.5,서울-용산-2021-00066,2021-05-10 ~2021-05-20,후암동 5<제일은행앞 도로변,양호,남산동물병원,서울특별시 용산구정
68,완료(귀가),[개] 푸들,수컷,1.0,흰색,2017,8.6,서울-관악-2021-00180,2021-05-09 ~2021-05-20,은천로156,"순하고사람잘따름,털이지저분함,집없음",러브펫종합동물병원,서울특별시 관악구정
69,완료(귀가),[개] 푸들,수컷,0.0,갈,2016,4.5,경기-안산-2021-00397',2021-005-09 ~2021-05-19,월피동 447 부근,"손발머리귀끝남기고미용,빨간니트",한국야생동물보호협회,경기도 안산시청
70,완료(귀가),[개] 푸들,암컷,,황색,2018,5,대전-서구-2021-00169,2021-05-10 ~2021-05-20,도마로 100-1 인근,,대전동물보호센터,대전광역시 서구청
71,완료(귀가),[개] 푸들,암컷,0.0,검정색,2011,4.0,부산-연제-2021-00093,2021-05-10 ~2021-05-20,법원북로 71,"노령견(옷착용), 연제구 139",청조동물병원,부산광역시 연제구정
72,보호중,[개] 푸들,수컷,0.0,갈색,2017,4,강원-동해-2021-00083,2021-05-10 ~2021-05-20,동해시 동호동 용구사 부근,상태양호,동해시유기동물보호소,강원도 동해시청
73,완료(귀가),[개] 푸들,수컷,1.0,갈색,2018,5.9,전북-전주-2021-00621,2021-05-10 ~2021-05-20,덕진동 건강관리협회 인근,전신미용 되어있음,아프리카동물병원,전라북도 전주시청
74,보호중,[개] 푸들,수컷,0.0,블랙,2020,3.2,전북-군산-2021-00438,2021-05-10 ~ 2021-05-20,소룡동 자동차융합기술원,입주변이 갈색빛이나고 꼬리가 길어요-신고자분 임보중,군산유기동물보호센터,전라북도 군산시청
75,공고중,[개] 푸들,수컷,1.0,흰,2021,3.8,서울-서초-2021-00057',2021-05-11~2021-05-31,서초대로 385 진흥아파트 단지 내,"눈물자국,코진갈.부정교합.꼬리길게단미.다리깊.겁있음.사람",한국동물구조관리협회,서울특별시 서초구정
76,완료(귀가),[개] 푸들,암컷,,흰,2017,,경기-의정부-2021-00103,2021-05-11~2021-05-21,서부로 527 인근,양눈눈물자국.코검정.전신미용흔적.얼굴/양귀/꼬리끝털더깊.,한국동물구조관리협회,경기도 의정부시청
77,완료(귀가),[개] 푸들,수컷,1.0,갈,2018,4.9,경기-구리-2021-00053,2021-05-11~2021-05-21,아차산로37 모던기와 인근,"양눈눈물자국. 코검정. 전신미용흔적. 머리/꼬리끝털 더깊, 사",한국동물구조관리협회,경기도 구리시청
78,보호중,[개] 푸들,암컷,,갈색,2018,4.46,충남-서산-2021-00248,2021-05-11~2021-05-18,대산읍 대산정형외과 부근,"순함, 대퇴부 골절, 찜찜탬",서산시 동물보호센터,충청남도 서산시청
79,완료(귀가),[개] 푸들,암컷,0.0,갈색,2019,5,경남-거제-2021-00426,2021-05-11 ~2021-05-21,삼룡초 부근,순함,거제시유기동물보호소,경상남도 거제시정
80,보호중,[개] 푸들,수컷,0.0,갈색,2018,5,제주-제주-2021-01787,2021-05-11~2021-05-21,서귀포시 남원읍 위미리 41732,(개체관리번호1691)노란목,제주 동물보호센터,제주특별자치도청
81,보호중,[개] 푸들,수컷,0.0,갈색,2019,4.42,부산-기장-2021-00150,2021-05-11~2021-05-21,정관휴먼시아 2단지 부근,"갈색 하네스, 순함",누리동물병원,부산광역시 기장군정
82,보호중,[개] 푸들,수컷,0.0,검정,2020,3.6,인천-부평-2021-00265,2021-05-11 ~ 2021-05-21,동암역 굴다리,"긴털,양쪽귀 미용",늘푸른동물병원,인천광역시 부평구청
83,보호중,[개] 푸들,수컷,1.0,흰색,2019,3.5,경기-평택-2021-00833,2021-05-11 ~ 2021-05-21,여술로 74,"중성화, 순함",평택시유기동물보호소,경기도 평택시청
84,종료(자연사),[개] 푸들,암컷,0.0,흰색,2014,1.6,경기-평택-2021-00835,2021-05-11 ~ 2021-05-21,숙성리 753,순함,평택시유기동물보호소,경기도 평택시청
85,보호중,[개] 푸들,수컷,1.0,갈색,2013,4,강원-인제-2021-00035,2021-05-11 ~ 2021-05-21,북면 용대삼거리 용대황태마을,사람을 좋아하고 잘 따름,인제군유기동물보호소,강원도 인제군청
