,state,kind,sex,neutralization,color,birth,weight,number,period,location,feature,center,department
367,보호중,[개] 진도견,수컷,1.0,흰색,2021,5.0,경북-성주-2021-00122,2021-05-10 ~2021-05-20,성주읍 19ㄱ,진도 리트리버 믹스 배변완벽히 가림 중성화완료 순함,성주유기동물보호센터,경상북도 성주군청
368,보호중,[개] 진도견,암컷,,흰색,2021,12.0,세종-세종-2021-00204,2021-05-10 ~2021-05-17,전의면 읍내리,"8개월추정, 목줄한 상태로 길가를 돌아다님",세종유기동물보호센터,세종특별자치시청
369,보호중,[개] 진도견,암컷,0.0,흰색,2020,17.0,경남-창원1-2021-00229,2021-05-12~2021-05-20,성산구 성산구청 앞,1<57-12 흰색. 귀긋. 기본교육되어있음.,창원유기동물보호소,경상남도 창원시 의창성산구청
370,완료(귀가),[개] 진도견,암컷,0.0,흰색,2014,14.0,전북-전주-2021-00624,2021-05-11~2021-05-20,현대중앙안과로비,콩부분탈모,동부동물병원,전라북도 전주시청
371,공고중,[개] 진도견,수컷,0.0,호피,2019,20.0,인천-중구-2021-00223,2021-05-12~2021-05-24,을왕리해수욕장,엄청순하고귀엽고착하다사람을좋아한다,신공항동물병원,인천광역시 중구청
372,공고중,[개] 진도견,수컷,0.0,황,2017,23.0,대전-중구-2021-00098,2021-05-12 ~2021-05-24,선화동 185-1 번지 주변,",",대전동물보호센터,대전광역시 중구청
373,보호중,[개] 진도견,수컷,0.0,흰색,2020,10.0,전남-진도-2021-00022,2021-05-12 ~ 2021-05-20,진도군 군내면 상가마을회관,앞다리 절음,진도개메디컬센터,전라남도 진도군청
374,공고중,[개] 진도견,수컷,,흰색,2020,16.0,경북-김천-2021-00128,2021-05-12~2021-05-24,아포읍 송천리,"올무에걸림, 공격적이고 사나움",김천시 동물보호센터,경상북도 김천시청
375,공고중,[개] 진도견,수컷,,흰색,2019,22.0,경북-김천-2021-00129,2021-05-12~2021-05-24,봉산면 신암2리 회관뒤 야산,"올무에걸림, 공격적이고 사나움",김천시 동물보호센터,경상북도 김천시청
376,보호중,[개] 진도견,암컷,,백색,2017,20.0,경북-문경-2021-00147',2021-05-12~2021-05-20,농암사현,성질 날카로움,종합가축병원,경상북도 문경시정
377,공고중,[개] 진도견,암컷,0.0,호피무늬,2020,15.0,충남-금산-2021-00056,2021-05-12~2021-05-24,남일면 덕천로 257,없음,월드동물병원,충청남도 금산군청
378,공고중,[개] 진도견,수컷,0.0,"하양,갈색,검정",2019,12.3,경남-함안-2021-00116,2021-05-12~2021-05-24,"가야읍 말산로1 , 군청앞",온순하며 애교가많음,함안군동물보호소,경상남도 함안군청
379,공고중,[개] 진도견,수컷,0.0,"갈색,검정,하양",2021,6.7,경남-함안-2021-00117,2021-05-12~2021-05-24,함안면 공설운동장,온순함,함안군동물보호소,경상남도 함안군청
380,공고중,[개] 진도견,수컷,0.0,갈색,2018,16.3,경남-함안-2021-00122,2021-05-12~2021-05-24,대산면 옥렬리 450,약간 부끄러움은 있으나 호전가능,함안군동물보호소,경상남도 함안군청
